candidate_id,name,category,status,marco,hypothesis,baseline,metrics,benchmark_type,benchmark,required_configuration,expected_runtime_use,cost_to_measure,latency_to_measure,risks_to_measure,gate,evidence_generated,promotion_criteria,rejection_criteria,removal_criteria,substitute_candidate,substitute_reason
8-2-data-layer-storage-versioning-and-governance__lakefs,LakeFS,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether LakeFS improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__git-lfs,Git LFS,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Git LFS improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__dolt,Dolt,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Dolt improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__great-expectations,Great Expectations,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Great Expectations improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__soda,Soda,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Soda improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__deequ,Deequ,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Deequ improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__evidently,Evidently,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Evidently improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__whylabs,WhyLabs,"8.2 Data layer, storage, versioning and governance",FUTURE_RESEARCH,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether WhyLabs improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_EXTERNAL_BENCHMARK""]",PROXY,blocked_until_service_or_license_available,"external credentials, service access, license, or hardware",not_active_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark required before runtime promotion,external dependency unavailable,TBD_BY_REPOSITORY_CLEANLINESS,local_proxy_if_external_unavailable,"Original candidate requires unavailable SaaS, license, hardware, or credentials."
8-2-data-layer-storage-versioning-and-governance__openlineage,OpenLineage,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether OpenLineage improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__marquez,Marquez,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Marquez improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__datahub,DataHub,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether DataHub improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__openmetadata,OpenMetadata,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether OpenMetadata improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__dataset-cards,Dataset cards,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Dataset cards improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__model-cards,Model cards,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Model cards improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__system-cards,System cards,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether System cards improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__minio,MinIO,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether MinIO improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__apache-iceberg,Apache Iceberg,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Apache Iceberg improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__delta-lake,Delta Lake,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Delta Lake improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__feast,Feast,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Feast improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__duckdb,DuckDB,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether DuckDB improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__polars,Polars,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Polars improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__dbt,dbt,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether dbt improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__clickhouse,ClickHouse,"8.2 Data layer, storage, versioning and governance",BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether ClickHouse improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-2-data-layer-storage-versioning-and-governance__bigquery-snowflake,BigQuery/Snowflake,"8.2 Data layer, storage, versioning and governance",FUTURE_RESEARCH,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether BigQuery/Snowflake improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_EXTERNAL_BENCHMARK""]",PROXY,blocked_until_service_or_license_available,"external credentials, service access, license, or hardware",not_active_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark required before runtime promotion,external dependency unavailable,TBD_BY_REPOSITORY_CLEANLINESS,local_proxy_if_external_unavailable,"Original candidate requires unavailable SaaS, license, hardware, or credentials."
8-3-vector-search-retrieval__qdrant,Qdrant,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Qdrant improves final product output.,TBD_BY_BASELINE,"[""local_readiness"", ""latency_ms"", ""cost"", ""risk_score""]",LOCAL_READINESS,scripts/run_benchmark.py,.env.example and project manifests,active_product_runtime,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,local benchmark fails or component is unused,remove from runtime if no active product use remains,,
8-3-vector-search-retrieval__weaviate,Weaviate,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Weaviate improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-3-vector-search-retrieval__milvus,Milvus,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Milvus improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-3-vector-search-retrieval__vespa,Vespa,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Vespa improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-3-vector-search-retrieval__elasticsearch,Elasticsearch,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether Elasticsearch improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
8-3-vector-search-retrieval__opensearch,OpenSearch,8.3 Vector/search/retrieval,BENCHMARKED,Marco TBD_BY_ROADMAP_MAPPING,Evaluate whether OpenSearch improves final product output.,TBD_BY_BASELINE,"[""TBD_BY_BENCHMARK""]",LOCAL_READINESS,scripts/run_benchmark.py,TBD_BY_CONFIGURATION_REVIEW,TBD_BY_RUNTIME_REVIEW,TBD_BY_BENCHMARK,TBD_BY_BENCHMARK,TBD_BY_SECURITY_TESTING,check_candidate_catalog_complete,final_case_evidence/benchmark_results.jsonl,direct benchmark passed; runtime promotion still requires output-value review and decision ledger,TBD_BY_BENCHMARK,TBD_BY_REPOSITORY_CLEANLINESS,,
